head	relation	tail
TCM_ID:HTHP00071	modulates	Protein:VCP
TCM_ID:HTHP00010	modulates	Protein:ADRB3
TCM_ID:HTHP00010	modulates	Protein:PM20D2
TCM_ID:HTHP00010	modulates	Protein:Dpml
TCM_ID:HTHP00010	modulates	Protein:CYP3A4
TCM_ID:HTHP00010	modulates	Protein:HSD17B3
TCM_ID:HTHP00010	modulates	Protein:ACHE
TCM_ID:HTHP00010	modulates	Protein:ACP4
TCM_ID:HTHP00010	modulates	Protein:RTP1
TCM_ID:HTHP00010	modulates	Protein:CHRM1
TCM_ID:HTHP00010	modulates	Protein:IGHG1
TCM_ID:HTHP00010	modulates	Protein:SLC6A2
TCM_ID:HTHP00010	modulates	Protein:PTGS2
TCM_ID:HTHP00010	modulates	Protein:RXRA
TCM_ID:HTHP00010	modulates	Protein:SLC6A3
TCM_ID:HTHP00010	modulates	Protein:PTGS1
TCM_ID:HTHP00010	modulates	Protein:PGR
TCM_ID:HTHP00010	modulates	Protein:ADRB2
TCM_ID:HTHP00010	modulates	Protein:ADRA1A
TCM_ID:HTHP00010	modulates	Protein:ADRB1
TCM_ID:HTHP00010	modulates	Protein:DHTKD1
TCM_ID:HTHP00010	modulates	Protein:APAF1
TCM_ID:HTHP00010	modulates	Protein:XIAP
TCM_ID:HTHP00010	modulates	Protein:BIRC5
TCM_ID:HTHP00010	modulates	Protein:ATP1A1
TCM_ID:HTHP00010	modulates	Protein:ATP1A2
TCM_ID:HTHP00010	modulates	Protein:ATP1A3
TCM_ID:HTHP00010	modulates	Protein:ATP12A
TCM_ID:HTHP00010	modulates	Protein:ATP1A4
TCM_ID:HTHP00010	modulates	Protein:ATP2A1
TCM_ID:HTHP00010	modulates	Protein:ATP2A2
TCM_ID:HTHP00010	modulates	Protein:ATP2A3
TCM_ID:HTHP00010	modulates	Protein:ATP4A
TCM_ID:HTHP00010	modulates	Protein:BAX
TCM_ID:HTHP00010	modulates	TF:CCND1
TCM_ID:HTHP00010	modulates	Protein:BCL2
TCM_ID:HTHP00010	modulates	Protein:BID
TCM_ID:HTHP00010	modulates	Protein:CASP3
TCM_ID:HTHP00010	modulates	Protein:CASP9
TCM_ID:HTHP00010	modulates	Protein:CDK4
TCM_ID:HTHP00010	modulates	Protein:KLKB1
TCM_ID:HTHP00010	modulates	Protein:MMP2
TCM_ID:HTHP00010	modulates	Protein:MMP9
TCM_ID:HTHP00010	modulates	Protein:PRNP
TCM_ID:HTHP00010	modulates	TF:TP53
TCM_ID:HTHP00010	modulates	Protein:TNFRSF10B
TCM_ID:HTHP00010	modulates	Protein:CFLAR
TCM_ID:HTHP00010	modulates	Protein:GDF15
TCM_ID:HTHP00010	modulates	Protein:ATP2C2
TCM_ID:HTHP00010	modulates	Protein:DUSP10
TCM_ID:HTHP00010	modulates	Protein:ATP11B
TCM_ID:HTHP00010	modulates	Protein:ATP13A1
TCM_ID:HTHP00010	modulates	Protein:ATP10A
TCM_ID:HTHP00010	modulates	Protein:ATP8B2
TCM_ID:HTHP00010	modulates	Protein:ATP8B4
TCM_ID:HTHP00010	modulates	Protein:ATP11C
TCM_ID:HTHP00010	modulates	Protein:OXA1L
TCM_ID:HTHP00010	modulates	TF:JUN
TCM_ID:HTHP00010	modulates	TF:PPARG
TCM_ID:HTHP00010	modulates	TF:RELA
TCM_ID:HTHP00010	modulates	Protein:TCEAL7
TCM_ID:HTHP00010	modulates	Protein:Ptges3-ps
TCM_ID:HTHP00010	modulates	Protein:Api5-ps
TCM_ID:HTHP00010	modulates	Protein:ALOX5
TCM_ID:HTHP00010	modulates	Protein:FASLG
TCM_ID:HTHP00010	modulates	Protein:HMOX1
TCM_ID:HTHP00010	modulates	Protein:TRPV1
TCM_ID:HTHP00010	modulates	Protein:ACTB
TCM_ID:HTHP00010	modulates	Protein:ADARB1
TCM_ID:HTHP00010	modulates	Protein:CASP8
TCM_ID:HTHP00010	modulates	Protein:F3
TCM_ID:HTHP00010	modulates	TF:HIF1A
TCM_ID:HTHP00010	modulates	Protein:HLA-B
TCM_ID:HTHP00010	modulates	Protein:IL6
TCM_ID:HTHP00010	modulates	Protein:CXCL8
TCM_ID:HTHP00010	modulates	Protein:IL10
TCM_ID:HTHP00010	modulates	TF:MYC
TCM_ID:HTHP00010	modulates	Protein:NTRK2
TCM_ID:HTHP00010	modulates	Protein:PTGER3
TCM_ID:HTHP00010	modulates	Protein:TNF
TCM_ID:HTHP00010	modulates	Protein:VEGFA
TCM_ID:HTHP00010	modulates	Protein:TRMT12
TCM_ID:HTHP00010	modulates	Protein:TFB2M
TCM_ID:HTHP00010	modulates	Protein:POTEE
TCM_ID:HTHP00010	modulates	Protein:POTEI
TCM_ID:HTHP00010	modulates	Protein:POTEJ
TCM_ID:HTHP00010	modulates	Protein:MAOB
TCM_ID:HTHP00010	modulates	Protein:CYP1A1
TCM_ID:HTHP00010	modulates	TF:AHR
TCM_ID:HTHP00010	modulates	Protein:AKT1
TCM_ID:HTHP00010	modulates	Protein:ANK3
TCM_ID:HTHP00010	modulates	Protein:BARD1
TCM_ID:HTHP00010	modulates	Protein:CAT
TCM_ID:HTHP00010	modulates	Protein:CD36
TCM_ID:HTHP00010	modulates	Protein:COX6A1
TCM_ID:HTHP00010	modulates	Protein:CRP
TCM_ID:HTHP00010	modulates	Protein:CYP2B6
TCM_ID:HTHP00010	modulates	Protein:E2F6
TCM_ID:HTHP00010	modulates	Protein:GSTP1
TCM_ID:HTHP00010	modulates	Protein:GTF2H2
TCM_ID:HTHP00010	modulates	Protein:ILK
TCM_ID:HTHP00010	modulates	Protein:NFKBIA
TCM_ID:HTHP00010	modulates	Protein:NFKBIB
TCM_ID:HTHP00010	modulates	Protein:PCOLCE
TCM_ID:HTHP00010	modulates	Protein:PRKCA
TCM_ID:HTHP00010	modulates	Protein:PRKCB
TCM_ID:HTHP00010	modulates	Protein:SOD1
TCM_ID:HTHP00010	modulates	TF:STAT1
TCM_ID:HTHP00010	modulates	Protein:STAT5B
TCM_ID:HTHP00010	modulates	Protein:TGFB1
TCM_ID:HTHP00010	modulates	Protein:UCP2
TCM_ID:HTHP00010	modulates	Protein:XRCC2
TCM_ID:HTHP00010	modulates	Protein:AHSA1
TCM_ID:HTHP00010	modulates	Protein:RASSF1
TCM_ID:HTHP00010	modulates	Protein:SHANK2
TCM_ID:HTHP00010	modulates	Protein:RAI14
TCM_ID:HTHP00010	modulates	Protein:MRPL35
TCM_ID:HTHP00010	modulates	Protein:ASB1
TCM_ID:HTHP00010	modulates	Protein:C12orf4
TCM_ID:HTHP00010	modulates	Protein:GABPB2
TCM_ID:HTHP00010	modulates	Protein:MAP2
TCM_ID:HTHP00010	modulates	Protein:PON1
TCM_ID:HTHP00010	modulates	Protein:TRPA1
TCM_ID:HTHP00010	modulates	Protein:HMGCR
TCM_ID:HTHP00010	modulates	Protein:TP53COR1
TCM_ID:HTHP00010	modulates	Protein:Cox20b
TCM_ID:HTHP00010	modulates	Protein:ANKRD17
TCM_ID:HTHP00010	modulates	Protein:CYP1B1
TCM_ID:HTHP00010	modulates	Protein:E2F2
TCM_ID:HTHP00010	modulates	Protein:ARNTL2
TCM_ID:HTHP00010	modulates	Protein:ALOXE3
TCM_ID:HTHP00010	modulates	Protein:NOSTRIN
TCM_ID:HTHP00010	modulates	Protein:Ccpg1os
TCM_ID:HTHP00010	modulates	Protein:Mapk6-ps1
TCM_ID:HTHP00010	modulates	Protein:Tstap198-15
TCM_ID:HTHP00010	modulates	Protein:COX10
TCM_ID:HTHP00010	modulates	Protein:DIO1
TCM_ID:HTHP00010	modulates	Protein:HAS2
TCM_ID:HTHP00010	modulates	Protein:POLD1
TCM_ID:HTHP00010	modulates	Protein:Idd6.3
TCM_ID:HTHP00010	modulates	Protein:Gssos2
TCM_ID:HTHP00010	modulates	Protein:Ciaaq1
TCM_ID:HTHP00088	modulates	TF:NR3C1
TCM_ID:HTHP00088	modulates	Protein:PM20D2
TCM_ID:HTHP00088	modulates	Protein:ACP4
TCM_ID:HTHP00088	modulates	Protein:IGHG1
TCM_ID:HTHP00088	modulates	Protein:SLC44A2
TCM_ID:HTHP00088	modulates	TF:SREBF2
TCM_ID:HTHP00088	modulates	Protein:HK1
TCM_ID:HTHP00100	modulates	Protein:AKT1
TCM_ID:HTHP00100	modulates	TF:AR
TCM_ID:HTHP00100	modulates	Protein:BAD
TCM_ID:HTHP00100	modulates	Protein:BAX
TCM_ID:HTHP00100	modulates	TF:CCND1
