中药名,寒,热,温,凉,平,酸,苦,甘,辛,咸,肺,心包,心,大肠,三焦,小肠,胃,胆,膀胱,脾,肝,肾,毒性,功效
艾叶,,,温,,,,苦,,辛,,,,,,,,,,,脾,肝,肾,,"['散寒','止痛','温经','止血']"
白扁豆,,,微温,,,,,甘,,,,,,,,,胃,,,脾,,,,"['健脾','化湿','和中','消暑']"
白茅根,寒,,,,,,,甘,,,肺,,,,,,胃,,膀胱,,,,,"['凉血','止血','清热','利尿']"
白前,,,微温,,,,苦,,辛,,肺,,,,,,,,,,,,,"['降气','消痰','止咳']"
白术,,,温,,,,苦,甘,,,,,,,,,胃,,,脾,,,,"['健脾','益气','燥湿','利水','止汗','安胎']"
白头翁,寒,,,,,,苦,,,,,,,大肠,,,胃,,,,,,,"['清热','解毒','凉血','止痢']"
白芷,,,温,,,,,,辛,,肺,,,大肠,,,胃,,,,,,,"['散风','除湿','通窍','止痛','消肿','排脓']"
百合,寒,,,,,,,甘,,,肺,,心,,,,,,,,,,,"['养阴','润肺','清心','安神']"
板蓝根,寒,,,,,,苦,,,,,,心,,,,胃,,,,,,,"['清热','解毒','凉血','利咽']"
北沙参,微寒,,,,,,微苦,甘,,,肺,,,,,,胃,,,,,,,"['养阴','清肺','益胃','生津']"
荜茇,,热,,,,,,,辛,,,,,大肠,,,胃,,,,,,,"['温中','散寒','下气','止痛']"
苍术,,,温,,,,苦,,辛,,,,,,,,胃,,,脾,肝,,,"['燥湿','健脾','祛风','散寒','明目']"
侧柏叶,寒,,,,,,苦,,,,肺,,,,,,,,,脾,肝,,,"['凉血','止血','生发','乌发']"
蝉蜕,寒,,,,,,,甘,,,肺,,,,,,,,,,肝,,,"['散风','除热','利咽','透疹','解痉','退翳']"
车前子,微寒,,,,,,,甘,,,肺,,,,,小肠,,,,,肝,肾,,"['清热','利尿','渗湿','通淋','明目','祛痰']"
陈皮,,,温,,,,苦,,辛,,肺,,,,,,,,,脾,,,,"['理气','开胃','燥湿','化痰','治脾','胃病']"
赤芍,微寒,,,,,,苦,,,,,,,,,,,,,脾,肝,,,"['清热','凉血','散瘀','止痛']"
川贝母,微寒,,,,,,苦,甘,,,肺,,心,,,,,,,,,,,"['清热','润肺','化痰','止咳']"
川射干,寒,,,,,,苦,,,,肺,,,,,,,,,,,,,"['清热','解毒','消痰','利咽']"
川芎,,,温,,,,,,辛,,,心包,心,,,,,胆,,,肝,,,"['活血','行气','祛风','止痛']"
穿心莲,寒,,,,,,苦,,,,肺,,,,,,胃,,,,肝,,,"['清热','解毒','凉血','消肿']"
大腹皮,,,微温,,,,,,辛,,,,,大肠,,小肠,胃,,,脾,,,,"['行气','宽中','行水','消肿']"
大黄,寒,,,,,,苦,,,,,心包,心,大肠,,,胃,,,脾,肝,,,"['泻热','通便','凉血','解毒','逐瘀','通经']"
大青叶,寒,,,,,,苦,,,,,,心,,,,胃,,,,,,,"['清热','解毒','凉血','清斑']"
大枣,,,温,,,,,甘,,,,,心,,,,胃,,,脾,,,,"['补中','益气','养血','安神']"
