rank,type,target,score
1,TF,TF:TP53,41.25
2,TF,TF:EP300,26
3,TF,TF:ESR1,25.75
4,TF,TF:STAT1,25.625
5,TF,TF:FOXO3,25.625
6,TF,TF:PPARG,25
7,TF,RBP:YBX1,25
8,TF,TF:STAT5A,23.625
9,TF,TF:CREB1,23.25
10,TF,TF:SMAD3,22.5
11,TF,TF:NR1I2,18.875
12,Protein,Protein:HSP90AA1,18.375
13,TF,TF:RUNX2,18.125
14,TF,TF:FOXO1,17.75
15,TF,TF:STAT4,16.375
16,TF,TF:HNF4A,15.8125
17,TF,TF:SOX2,15.8125
18,TF,TF:FOXM1,15.625
19,TF,TF:SMAD2,15.5
20,Protein,Protein:HDAC2,15.4375
21,Protein,Protein:SIRT1,15.3125
22,TF,TF:SREBF2,14.9375
23,TF,TF:YAP1,14.9375
24,Protein,Protein:AKT1,14.8125
25,Protein,Protein:CYP2A6,14.8125
26,TF,TF:E2F1,14.75
27,TF,TF:CEBPA,14.3125
28,Protein,Protein:NFKB1,14.25
29,Protein,Protein:PTEN,14.1875
30,TF,TF:YY1,14.0625
31,Protein,Protein:EGFR,14
32,Protein,Protein:IL6,13.875
33,TF,TF:ATF3,13.875
34,TF,TF:EGR1,13.6875
35,Protein,Protein:TNF,13.6875
36,TF,TF:IRF1,13.5625
37,Protein,Protein:APP,13.125
38,Protein,Protein:MAPK3,13
39,TF,TF:SMAD1,12.6875
40,Protein,Protein:PPARGC1A,12.625
41,Protein,Protein:FOS,12.625
42,TF,TF:GLI1,12.5625
43,TF,TF:CEBPB,12.5625
44,TF,TF:ERG,12.5
45,Protein,Protein:GSK3B,12.5
46,Protein,Protein:IKBKB,12.4375
47,Protein,Protein:IL1B,12.375
48,Protein,Protein:CFTR,12.375
49,Protein,Protein:PTPA,12.3125
50,Protein,Protein:RAC1,12.25
51,Protein,Protein:RHOA,12.25
52,Protein,Protein:CDH1,12.1875
53,Protein,Protein:MAPK8,12.1875
54,TF,TF:PDX1,12.1875
55,Protein,Protein:CASP8,12.1875
56,Protein,Protein:BRCA1,12.125
57,Protein,Protein:PTK2,11.9375
58,TF,TF:TET1,11.9375
59,Protein,Protein:IL2,11.9375
60,TF,TF:HSF1,11.875
61,TF,TF:MITF,11.875
62,TF,TF:VDR,11.8125
63,Protein,Protein:PRKCA,11.8125
64,Protein,Protein:CDK5,11.75
65,Protein,Protein:KRAS,11.5
66,Protein,Protein:TLR4,11.5
67,Protein,Protein:ITGB1,11.5
68,TF,TF:TCF7L2,11.4375
69,Protein,Protein:NOS3,11.4375
70,TF,TF:WT1,11.3125
71,Protein,Protein:TRAF6,11.25
72,Protein,Protein:RAD51,11.1875
73,Protein,Protein:CYP1A2,11.125
74,Protein,Protein:ICAM1,11.0625
75,Protein,Protein:ALB,10.9375
76,Protein,Protein:KDM1A,10.875
77,TF,TF:GATA3,10.875
78,Protein,Protein:PCNA,10.8125
79,TF,TF:ETS1,10.8125
80,Protein,Protein:PPARA,10.75
81,Protein,Protein:IRF3,10.75
82,TF,TF:KLF4,10.75
83,Protein,Protein:CD4,10.75
84,TF,TF:POU5F1,10.6875
85,Protein,Protein:RXRA,10.625
86,TF,TF:NANOG,10.625
87,Protein,Protein:YWHAZ,10.5625
88,TF,TF:ELK1,10.5625
89,Protein,Protein:VEGFA,10.5625
90,Protein,Protein:GAPDH,10.4375
91,Protein,Protein:LPL,10.4375
92,Protein,Protein:NCOR1,10.375
93,Protein,Protein:GNAI1,10.375
94,Protein,Protein:ITGAM,10.375
95,Protein,Protein:PARP1,10.3125
96,Protein,Protein:TLR2,10.25
97,Protein,Protein:PRKCB,10.25
98,Protein,Protein:HSPA5,10.25
99,Protein,Protein:CALR,10.25
100,Protein,Protein:NGF,10.125
101,Protein,Protein:EDN1,10.125
102,Protein,Protein:MMP2,10.125
103,Protein,Protein:EPO,10.0625
104,TF,TF:TFAP2A,10.0625
105,Protein,Protein:RAF1,10
106,Protein,Protein:JAK2,10
107,Protein,Protein:GSTP1,9.9375
108,TF,TF:KLF2,9.9375
109,Protein,Protein:KAT2B,9.9375
110,Protein,Protein:AQP4,9.875
111,Protein,Protein:POMC,9.875
112,Protein,Protein:GJA1,9.875
113,Protein,Protein:BCL2L1,9.875
114,Protein,Protein:FYN,9.8125
115,Protein,Protein:ATM,9.8125
116,Protein,Protein:BAX,9.75
117,Protein,Protein:PTPN11,9.75
118,Protein,Protein:CTSL,9.75
119,Protein,Protein:ADRB2,9.6875
120,Protein,Protein:IL10,9.6875
121,Protein,Protein:SLC5A1,9.6875
122,Protein,Protein:SYK,9.6875
123,Protein,Protein:CNR1,9.625
124,Protein,Protein:MAP2K1,9.625
125,Protein,Protein:GFAP,9.625
126,Protein,Protein:IRS1,9.625
127,Protein,Protein:CASP9,9.5625
128,TF,TF:TCF4,9.5
129,Protein,Protein:IL5,9.5
130,Protein,Protein:KEAP1,9.4375
131,Protein,Protein:APOB,9.4375
132,Protein,Protein:VWF,9.4375
133,Protein,Protein:FGF2,9.4375
134,Protein,Protein:CRP,9.375
135,Protein,Protein:ITGB3,9.375
136,Protein,Protein:EGF,9.375
137,Protein,Protein:CYP7A1,9.3125
138,Protein,Protein:CDK4,9.3125
139,Protein,Protein:ADIPOQ,9.3125
140,Protein,Protein:MAP2K7,9.3125
141,Protein,Protein:TRPV4,9.3125
142,Protein,Protein:LIPE,9.3125
143,Protein,Protein:MICAL1,9.25
144,Protein,Protein:LRP5,9.25
145,Protein,Protein:TJP1,9.25
146,Protein,Protein:GSTA2,9.25
147,Protein,Protein:TGFB3,9.1875
148,Protein,Protein:PIK3R1,9.1875
149,TF,TF:MEF2A,9.1875
150,Protein,Protein:GLA,9.1875
151,Protein,Protein:CHUK,9.1875
152,Protein,Protein:PLK1,9.1875
153,Protein,Protein:GGT5,9.125
154,Protein,Protein:PTPN6,9.125
155,Protein,Protein:GLB1,9.125
